C	1726681	Start menu	2020-06-29 22:52:26.709818
M	1726915	Start menu	2020-06-29 22:52:26.941831
D	1727118	Start menu	2020-06-29 22:52:27.145843
Return	1729380	Start menu	2020-06-29 22:52:29.405972
Lwin	1738459	kr	2020-06-29 22:52:38.491492
G	1739411	Start menu	2020-06-29 22:52:39.437546
O	1739613	Start menu	2020-06-29 22:52:39.634557
O	1739863	Start menu	2020-06-29 22:52:39.884572
G	1740362	Start menu	2020-06-29 22:52:40.381600
L	1740815	Start menu	2020-06-29 22:52:40.838626
E	1741251	Start menu	2020-06-29 22:52:41.281651
Return	1742780	Start menu	2020-06-29 22:52:42.811739
G	1746649	‫כרטיסייה חדשה - Google Chrome‬	2020-06-29 22:52:46.667959
I	1746867	‫כרטיסייה חדשה - Google Chrome‬	2020-06-29 22:52:46.888972
T	1747070	‫כרטיסייה חדשה - Google Chrome‬	2020-06-29 22:52:47.093984
H	1747398	‫כרטיסייה חדשה - Google Chrome‬	2020-06-29 22:52:47.427003
U	1747663	‫כרטיסייה חדשה - Google Chrome‬	2020-06-29 22:52:47.689018
B	1749098	‫כרטיסייה חדשה - Google Chrome‬	2020-06-29 22:52:49.119100
Oem_Period	1753108	‫כרטיסייה חדשה - Google Chrome‬	2020-06-29 22:52:53.135329
C	1753950	‫כרטיסייה חדשה - Google Chrome‬	2020-06-29 22:52:53.970377
O	1754137	‫כרטיסייה חדשה - Google Chrome‬	2020-06-29 22:52:54.155388
M	1754418	‫כרטיסייה חדשה - Google Chrome‬	2020-06-29 22:52:54.448405
Return	1755292	‫כרטיסייה חדשה - Google Chrome‬	2020-06-29 22:52:55.309454
